# gunzip -c exp/tri1/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Thu Nov  9 17:24:39 NZDT 2017
#
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 11.0567115463% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 25.4997960016% of the time at utterance end.  This may not be optimal.
At utterance begin, nonsilence accounts for 88.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.9,14) frames.
At utterance begin, t_B accounts for 19.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.2,11) frames.
At utterance begin, k_B accounts for 18.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.6,11) frames.
At utterance begin, sil accounts for 11.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.7,12) frames.
At utterance begin, m_B accounts for 10.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.1,14) frames.
At utterance begin, w_B accounts for 10.4% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.4,14) frames.
At utterance begin, h_B accounts for 6.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.1,17) frames.
At utterance begin, f_B accounts for 5.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.7,16) frames.
At utterance begin, r_B accounts for 4.7% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.9,7) frames.
At utterance begin, i_B accounts for 3.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.1,16) frames.
At utterance begin, a_B accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.8,18) frames.
At utterance begin, p_B accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.0,18) frames.
At utterance begin, o_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.6,14) frames.
At utterance begin, e_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.6,15) frames.
At utterance end, nonsilence accounts for 74.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.9,26) frames.
At utterance end, a_E accounts for 32.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.1,15) frames.
At utterance end, sil accounts for 25.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.9,14) frames.
At utterance end, i_E accounts for 13.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.3,16) frames.
At utterance end, o_E accounts for 5.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.9,15) frames.
At utterance end, aa_E accounts for 3.9% of phone occurrences, with duration (median, mean, 95-percentile) is (15,17.0,28) frames.
At utterance end, au_E accounts for 3.5% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.4,18) frames.
At utterance end, u_E accounts for 3.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.2,12) frames.
At utterance end, ai_E accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.9,15) frames.
At utterance end, ae_E accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (14,15.0,27) frames.
At utterance end, e_E accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.3,16) frames.
At utterance end, ou_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (27,27.0,36) frames.
At utterance end, ao_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (29,30.9,41) frames.
At utterance end, ei_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (34,33.0,39) frames.
At utterance end, uu_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.9,17) frames.
At utterance end, oe_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (24,25.7,38) frames.
Overall, nonsilence accounts for 92.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.3,18) frames.
Overall, a_I accounts for 8.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.0,10) frames.
Overall, sil accounts for 7.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.5,14) frames.
Overall, a_E accounts for 7.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.0,15) frames.
Overall, r_I accounts for 7.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.1,7) frames.
Overall, t_B accounts for 4.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.3,11) frames.
Overall, k_B accounts for 4.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,6.7,11) frames.
Overall, i_I accounts for 4.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.3,12) frames.
Overall, i_E accounts for 3.4% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.2,16) frames.
Overall, aa_I accounts for 3.3% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.8,21) frames.
Overall, m_B accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.3,15) frames.
Overall, o_I accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.9,11) frames.
Overall, k_I accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.8,12) frames.
