# gunzip -c exp/tri2b/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Thu Nov  9 17:26:06 NZDT 2017
#
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 10.8119135047% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 24.9694002448% of the time at utterance end.  This may not be optimal.
At utterance begin, nonsilence accounts for 89.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.0,14) frames.
At utterance begin, t_B accounts for 19.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.2,10) frames.
At utterance begin, k_B accounts for 18.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.6,11) frames.
At utterance begin, m_B accounts for 10.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.1,14) frames.
At utterance begin, sil accounts for 10.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.7,11) frames.
At utterance begin, w_B accounts for 10.4% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.5,14) frames.
At utterance begin, h_B accounts for 6.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.3,17) frames.
At utterance begin, f_B accounts for 5.8% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.7,16) frames.
At utterance begin, r_B accounts for 4.7% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.0,7) frames.
At utterance begin, i_B accounts for 3.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.0,16) frames.
At utterance begin, a_B accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (12,11.7,17) frames.
At utterance begin, p_B accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.0,18) frames.
At utterance begin, o_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.8,14) frames.
At utterance begin, e_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.6,15) frames.
At utterance end, nonsilence accounts for 75.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.8,25) frames.
At utterance end, a_E accounts for 32.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.1,15) frames.
At utterance end, sil accounts for 25.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.0,14) frames.
At utterance end, i_E accounts for 13.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.4,16) frames.
At utterance end, o_E accounts for 5.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.0,15) frames.
At utterance end, aa_E accounts for 3.9% of phone occurrences, with duration (median, mean, 95-percentile) is (15,16.9,27) frames.
At utterance end, au_E accounts for 3.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.4,18) frames.
At utterance end, u_E accounts for 3.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.3,11) frames.
At utterance end, ai_E accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.0,15) frames.
At utterance end, ae_E accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (14,15.0,27) frames.
At utterance end, e_E accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.3,16) frames.
At utterance end, ou_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (27,27.0,36) frames.
At utterance end, ao_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (29,31.1,41) frames.
At utterance end, ei_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (34,33.0,39) frames.
At utterance end, uu_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.9,17) frames.
At utterance end, oe_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (24,25.6,38) frames.
Overall, nonsilence accounts for 92.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.3,18) frames.
Overall, a_I accounts for 8.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.1,10) frames.
Overall, a_E accounts for 7.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.0,15) frames.
Overall, sil accounts for 7.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.6,14) frames.
Overall, r_I accounts for 7.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.1,7) frames.
Overall, t_B accounts for 4.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.3,10) frames.
Overall, k_B accounts for 4.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,6.7,11) frames.
Overall, i_I accounts for 4.4% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.2,12) frames.
Overall, i_E accounts for 3.4% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.3,16) frames.
Overall, aa_I accounts for 3.3% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.8,20) frames.
Overall, m_B accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.3,15) frames.
Overall, o_I accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.8,11) frames.
Overall, k_I accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.8,12) frames.
Overall, N_I accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.3,12) frames.
Overall, w_B accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.4,14) frames.
Overall, m_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.7,11) frames.
Overall, t_I accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.5,13) frames.
Overall, u_I accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.2,15) frames.
Overall, h_I accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.2,12) frames.
Overall, n_I accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.2,12) frames.
Overall, e_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.0,9) frames.
Overall, h_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.7,18) frames.
Overall, w_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.3,14) frames.
Overall, au_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (13,15.5,29) frames.
Overall, o_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.2,15) frames.
Overall, f_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.6,16) frames.
Overall, u_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,6.7,11) frames.
Overall, ae_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (15,17.1,31) frames.
Overall, r_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.0,7) frames.
Overall, ai_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.5,22) frames.
Overall, i_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.8,16) frames.
Overall, aa_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (15,16.8,27) frames.
Overall, p_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.7,17) frames.
Overall, p_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.8,11) frames.
Overall, a_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.8,17) frames.
Overall, au_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.5,19) frames.
Overall, e_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.8,18) frames.
