# gunzip -c exp/tri4b/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang_2 
# Started at Thu Nov  9 17:32:32 NZDT 2017
#
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 10.6895144839% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 23.2558139535% of the time at utterance end.  This may not be optimal.
At utterance begin, nonsilence accounts for 89.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.0,14) frames.
At utterance begin, t_B accounts for 19.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.2,10) frames.
At utterance begin, k_B accounts for 18.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.6,11) frames.
At utterance begin, m_B accounts for 10.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.1,14) frames.
At utterance begin, sil accounts for 10.7% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.7,11) frames.
At utterance begin, w_B accounts for 10.4% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.5,14) frames.
At utterance begin, h_B accounts for 6.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.5,18) frames.
At utterance begin, f_B accounts for 5.8% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.6,16) frames.
At utterance begin, r_B accounts for 4.7% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.9,6) frames.
At utterance begin, i_B accounts for 3.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.9,16) frames.
At utterance begin, a_B accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (12,11.9,17) frames.
At utterance begin, p_B accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.9,17) frames.
At utterance begin, o_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.9,14) frames.
At utterance begin, e_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.5,16) frames.
At utterance end, nonsilence accounts for 76.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.9,25) frames.
At utterance end, a_E accounts for 32.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.1,15) frames.
At utterance end, sil accounts for 23.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.2,14) frames.
At utterance end, i_E accounts for 13.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.5,16) frames.
At utterance end, o_E accounts for 5.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.1,15) frames.
At utterance end, aa_E accounts for 4.0% of phone occurrences, with duration (median, mean, 95-percentile) is (15,16.8,28) frames.
At utterance end, u_E accounts for 3.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.5,12) frames.
At utterance end, au_E accounts for 3.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.4,18) frames.
At utterance end, ae_E accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (14,15.1,27) frames.
At utterance end, ai_E accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.1,15) frames.
At utterance end, e_E accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.2,16) frames.
At utterance end, ou_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (28,27.0,36) frames.
At utterance end, ao_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (28,31.0,41) frames.
At utterance end, uu_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.7,17) frames.
At utterance end, ei_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (34,33.1,39) frames.
At utterance end, oe_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (23,25.3,39) frames.
Overall, nonsilence accounts for 92.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.3,18) frames.
Overall, a_I accounts for 8.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.1,10) frames.
Overall, a_E accounts for 7.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.1,15) frames.
Overall, sil accounts for 7.3% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.7,14) frames.
Overall, r_I accounts for 7.1% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.1,6) frames.
Overall, t_B accounts for 4.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.3,10) frames.
Overall, k_B accounts for 4.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,6.7,11) frames.
Overall, i_I accounts for 4.4% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.2,12) frames.
Overall, i_E accounts for 3.4% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.4,16) frames.
